timestamp,src_ip,dst_ip,icmp_type,icmp_code,frame_length,ttl,label
1786194668.4299672,127.0.0.1,127.0.0.1,0,0,64,128,ICMP_TRAFFIC
1786194668.5521317,127.0.0.1,127.0.0.1,8,0,64,128,ICMP_TRAFFIC
1786194668.5523343,127.0.0.1,127.0.0.1,0,0,64,128,ICMP_TRAFFIC
1786194668.6835144,127.0.0.1,127.0.0.1,8,0,64,128,ICMP_TRAFFIC
1786194668.6837404,127.0.0.1,127.0.0.1,0,0,64,128,ICMP_TRAFFIC
1786194668.8200686,127.0.0.1,127.0.0.1,8,0,64,128,ICMP_TRAFFIC
1786194668.8201687,127.0.0.1,127.0.0.1,0,0,64,128,ICMP_TRAFFIC
1786194668.974662,127.0.0.1,127.0.0.1,8,0,64,128,ICMP_TRAFFIC
1786194668.9748752,127.0.0.1,127.0.0.1,0,0,64,128,ICMP_TRAFFIC
1786194669.2054608,127.0.0.1,127.0.0.1,8,0,64,128,ICMP_TRAFFIC
1786194669.205532,127.0.0.1,127.0.0.1,0,0,64,128,ICMP_TRAFFIC
1786194669.3425407,127.0.0.1,127.0.0.1,8,0,64,128,ICMP_TRAFFIC
1786194669.3427563,127.0.0.1,127.0.0.1,0,0,64,128,ICMP_TRAFFIC
1786194669.4343433,127.0.0.1,127.0.0.1,8,0,64,128,ICMP_TRAFFIC
1786194669.4345157,127.0.0.1,127.0.0.1,0,0,64,128,ICMP_TRAFFIC
1786194669.535267,127.0.0.1,127.0.0.1,8,0,64,128,ICMP_TRAFFIC
1786194669.5353596,127.0.0.1,127.0.0.1,0,0,64,128,ICMP_TRAFFIC
1786194669.6278644,127.0.0.1,127.0.0.1,8,0,64,128,ICMP_TRAFFIC
1786194669.6280775,127.0.0.1,127.0.0.1,0,0,64,128,ICMP_TRAFFIC
1786194669.680213,127.0.0.1,127.0.0.1,8,0,64,128,ICMP_TRAFFIC
1786194669.6802912,127.0.0.1,127.0.0.1,0,0,64,128,ICMP_TRAFFIC
1786194669.7898724,127.0.0.1,127.0.0.1,8,0,64,128,ICMP_TRAFFIC
1786194669.7899542,127.0.0.1,127.0.0.1,0,0,64,128,ICMP_TRAFFIC
1786194669.8633187,127.0.0.1,127.0.0.1,8,0,64,128,ICMP_TRAFFIC
1786194669.8635423,127.0.0.1,127.0.0.1,0,0,64,128,ICMP_TRAFFIC
1786194669.9661005,127.0.0.1,127.0.0.1,8,0,64,128,ICMP_TRAFFIC
1786194669.9663312,127.0.0.1,127.0.0.1,0,0,64,128,ICMP_TRAFFIC
1786194670.1083212,127.0.0.1,127.0.0.1,8,0,64,128,ICMP_TRAFFIC
1786194670.108549,127.0.0.1,127.0.0.1,0,0,64,128,ICMP_TRAFFIC
1786194670.2090316,127.0.0.1,127.0.0.1,8,0,64,128,ICMP_TRAFFIC
1786194670.2091367,127.0.0.1,127.0.0.1,0,0,64,128,ICMP_TRAFFIC
1786194670.2741787,127.0.0.1,127.0.0.1,8,0,64,128,ICMP_TRAFFIC
1786194670.274412,127.0.0.1,127.0.0.1,0,0,64,128,ICMP_TRAFFIC
1786194670.3462524,127.0.0.1,127.0.0.1,8,0,64,128,ICMP_TRAFFIC
1786194670.346449,127.0.0.1,127.0.0.1,0,0,64,128,ICMP_TRAFFIC
1786194670.4016182,127.0.0.1,127.0.0.1,8,0,64,128,ICMP_TRAFFIC
1786194670.401826,127.0.0.1,127.0.0.1,0,0,64,128,ICMP_TRAFFIC
1786194670.4711704,127.0.0.1,127.0.0.1,8,0,64,128,ICMP_TRAFFIC
1786194670.471245,127.0.0.1,127.0.0.1,0,0,64,128,ICMP_TRAFFIC
1786194670.5598173,127.0.0.1,127.0.0.1,8,0,64,128,ICMP_TRAFFIC
1786194670.5599122,127.0.0.1,127.0.0.1,0,0,64,128,ICMP_TRAFFIC
1786194670.6549723,127.0.0.1,127.0.0.1,8,0,64,128,ICMP_TRAFFIC
1786194670.6550577,127.0.0.1,127.0.0.1,0,0,64,128,ICMP_TRAFFIC
1786194670.7575912,127.0.0.1,127.0.0.1,8,0,64,128,ICMP_TRAFFIC
1786194670.757687,127.0.0.1,127.0.0.1,0,0,64,128,ICMP_TRAFFIC
1786194670.8194969,127.0.0.1,127.0.0.1,8,0,64,128,ICMP_TRAFFIC
1786194670.8195956,127.0.0.1,127.0.0.1,0,0,64,128,ICMP_TRAFFIC
1786194670.9219527,127.0.0.1,127.0.0.1,8,0,64,128,ICMP_TRAFFIC
1786194670.9221544,127.0.0.1,127.0.0.1,0,0,64,128,ICMP_TRAFFIC
1786194671.0595367,127.0.0.1,127.0.0.1,8,0,64,128,ICMP_TRAFFIC
1786194671.0596771,127.0.0.1,127.0.0.1,0,0,64,128,ICMP_TRAFFIC
1786194671.1428216,127.0.0.1,127.0.0.1,8,0,64,128,ICMP_TRAFFIC
1786194671.1429048,127.0.0.1,127.0.0.1,0,0,64,128,ICMP_TRAFFIC
1786194671.22498,127.0.0.1,127.0.0.1,8,0,64,128,ICMP_TRAFFIC
1786194671.2250628,127.0.0.1,127.0.0.1,0,0,64,128,ICMP_TRAFFIC
1786194671.3090448,127.0.0.1,127.0.0.1,8,0,64,128,ICMP_TRAFFIC
1786194671.3092403,127.0.0.1,127.0.0.1,0,0,64,128,ICMP_TRAFFIC
1786194671.4090824,127.0.0.1,127.0.0.1,8,0,64,128,ICMP_TRAFFIC
1786194671.4091592,127.0.0.1,127.0.0.1,0,0,64,128,ICMP_TRAFFIC
1786194671.5211847,127.0.0.1,127.0.0.1,8,0,64,128,ICMP_TRAFFIC
1786194671.521304,127.0.0.1,127.0.0.1,0,0,64,128,ICMP_TRAFFIC
1786194671.5706732,127.0.0.1,127.0.0.1,8,0,64,128,ICMP_TRAFFIC
1786194671.570874,127.0.0.1,127.0.0.1,0,0,64,128,ICMP_TRAFFIC
1786194671.631596,127.0.0.1,127.0.0.1,8,0,64,128,ICMP_TRAFFIC
1786194671.6318023,127.0.0.1,127.0.0.1,0,0,64,128,ICMP_TRAFFIC
