flow_id,src_ip,dst_ip,src_port,dst_port,flow_duration,total_packets,total_bytes,forward_packets,backward_packets,forward_bytes,backward_bytes,packet_rate,byte_rate,avg_packet_length,min_packet_length,max_packet_length,tcp_syn_count,tcp_fin_count,tcp_ack_count,label,source_dataset,avg_udp_length,min_udp_length,max_udp_length,total_requests,request_rate,avg_uri_length,max_uri_length,avg_query_length,avg_special_char_count,total_angle_bracket_count,total_script_keyword_count,total_event_handler_count,total_encoded_char_count,avg_user_agent_length,avg_frame_length,max_frame_length,icmp_request_count,icmp_reply_count,icmp_other_count,request_reply_ratio,avg_ttl
127.0.0.1_127.0.0.1_62561_5005,127.0.0.1,127.0.0.1,62561.0,5005.0,0.0110847949981689,4.0,188,4.0,0.0,188.0,0.0,360.8546662938507,16960.16931581098,47.0,44.0,56.0,0.0,0.0,0.0,PORT_SCAN,port_scan_04_flows.csv,,,,,,,,,,,,,,,,,,,,,
127.0.0.1_127.0.0.1_62562_5006,127.0.0.1,127.0.0.1,62562.0,5006.0,0.0050745010375976,4.0,188,4.0,0.0,188.0,0.0,788.254839315918,37047.97744784815,47.0,44.0,56.0,0.0,0.0,0.0,PORT_SCAN,port_scan_04_flows.csv,,,,,,,,,,,,,,,,,,,,,
127.0.0.1_127.0.0.1_62563_5007,127.0.0.1,127.0.0.1,62563.0,5007.0,0.0145697593688964,4.0,188,4.0,0.0,188.0,0.0,274.54125347733594,12903.43891343479,47.0,44.0,56.0,0.0,0.0,0.0,PORT_SCAN,port_scan_04_flows.csv,,,,,,,,,,,,,,,,,,,,,
127.0.0.1_127.0.0.1_62564_5008,127.0.0.1,127.0.0.1,62564.0,5008.0,0.008188247680664,4.0,188,4.0,0.0,188.0,0.0,488.5050081528069,22959.735383181924,47.0,44.0,56.0,0.0,0.0,0.0,PORT_SCAN,port_scan_04_flows.csv,,,,,,,,,,,,,,,,,,,,,
127.0.0.1_127.0.0.1_62565_5009,127.0.0.1,127.0.0.1,62565.0,5009.0,0.0020527839660644,4.0,188,4.0,0.0,188.0,0.0,1948.573286875726,91582.94448315912,47.0,44.0,56.0,0.0,0.0,0.0,PORT_SCAN,port_scan_04_flows.csv,,,,,,,,,,,,,,,,,,,,,
127.0.0.1_127.0.0.1_62566_5010,127.0.0.1,127.0.0.1,62566.0,5010.0,0.0098657608032226,4.0,188,4.0,0.0,188.0,0.0,405.44262928951184,19055.803576607057,47.0,44.0,56.0,0.0,0.0,0.0,PORT_SCAN,port_scan_04_flows.csv,,,,,,,,,,,,,,,,,,,,,
127.0.0.1_127.0.0.1_62567_5011,127.0.0.1,127.0.0.1,62567.0,5011.0,0.0033590793609619,4.0,188,4.0,0.0,188.0,0.0,1190.802470012066,55967.71609056711,47.0,44.0,56.0,0.0,0.0,0.0,PORT_SCAN,port_scan_04_flows.csv,,,,,,,,,,,,,,,,,,,,,
127.0.0.1_127.0.0.1_62568_5012,127.0.0.1,127.0.0.1,62568.0,5012.0,0.0109462738037109,4.0,188,4.0,0.0,188.0,0.0,365.42115351106463,17174.79421502004,47.0,44.0,56.0,0.0,0.0,0.0,PORT_SCAN,port_scan_04_flows.csv,,,,,,,,,,,,,,,,,,,,,
127.0.0.1_127.0.0.1_62569_5013,127.0.0.1,127.0.0.1,62569.0,5013.0,0.0035817623138427,4.0,188,4.0,0.0,188.0,0.0,1116.7686880117153,52488.128336550624,47.0,44.0,56.0,0.0,0.0,0.0,PORT_SCAN,port_scan_04_flows.csv,,,,,,,,,,,,,,,,,,,,,
127.0.0.1_127.0.0.1_62570_5014,127.0.0.1,127.0.0.1,62570.0,5014.0,0.0126073360443115,4.0,188,4.0,0.0,188.0,0.0,317.27559144461884,14911.952797897084,47.0,44.0,56.0,0.0,0.0,0.0,PORT_SCAN,port_scan_04_flows.csv,,,,,,,,,,,,,,,,,,,,,
