timestamp,src_ip,dst_ip,src_port,dst_port,tcp_flags,frame_length,tcp_length,label
1786177149.8713484,127.0.0.1,127.0.0.1,59433,5052,,44,0,HTTP_FLOOD
1786177149.8766336,127.0.0.1,127.0.0.1,59433,5052,,44,0,HTTP_FLOOD
1786177149.8784387,127.0.0.1,127.0.0.1,59433,5052,,44,0,HTTP_FLOOD
1786177149.8825085,127.0.0.1,127.0.0.1,59434,5052,,56,0,HTTP_FLOOD
1786177149.8826215,127.0.0.1,127.0.0.1,59434,5052,,44,0,HTTP_FLOOD
1786177149.8827672,127.0.0.1,127.0.0.1,59434,5052,,183,139,HTTP_FLOOD
1786177149.8836737,127.0.0.1,127.0.0.1,59434,5052,,44,0,HTTP_FLOOD
1786177149.8836944,127.0.0.1,127.0.0.1,59434,5052,,44,0,HTTP_FLOOD
1786177149.888764,127.0.0.1,127.0.0.1,59434,5052,,44,0,HTTP_FLOOD
1786177149.890595,127.0.0.1,127.0.0.1,59434,5052,,44,0,HTTP_FLOOD
1786177149.8952167,127.0.0.1,127.0.0.1,59435,5052,,56,0,HTTP_FLOOD
1786177149.895326,127.0.0.1,127.0.0.1,59435,5052,,44,0,HTTP_FLOOD
1786177149.8955042,127.0.0.1,127.0.0.1,59435,5052,,183,139,HTTP_FLOOD
1786177149.8964515,127.0.0.1,127.0.0.1,59435,5052,,44,0,HTTP_FLOOD
1786177149.8964734,127.0.0.1,127.0.0.1,59435,5052,,44,0,HTTP_FLOOD
1786177149.9018185,127.0.0.1,127.0.0.1,59435,5052,,44,0,HTTP_FLOOD
1786177149.9037395,127.0.0.1,127.0.0.1,59435,5052,,44,0,HTTP_FLOOD
1786177149.908302,127.0.0.1,127.0.0.1,59436,5052,,56,0,HTTP_FLOOD
1786177149.9085095,127.0.0.1,127.0.0.1,59436,5052,,44,0,HTTP_FLOOD
1786177149.908703,127.0.0.1,127.0.0.1,59436,5052,,183,139,HTTP_FLOOD
1786177149.909607,127.0.0.1,127.0.0.1,59436,5052,,44,0,HTTP_FLOOD
